,time,modal_T,part_count,spindle_load,spd_scaler,spd
70,2022-03-28T21:53:47.778+09:00,4242.0,323.0_1,5.0,0.0,1
71,2022-03-28T21:53:47.877+09:00,4242.0,323.0_1,5.0,0.0,1
72,2022-03-28T21:53:47.977+09:00,4242.0,323.0_1,5.0,0.0,1
73,2022-03-28T21:53:48.988+09:00,4242.0,323.0_1,5.0,0.0,1
74,2022-03-28T21:53:49.088+09:00,4242.0,323.0_1,5.0,0.0,1
75,2022-03-28T21:53:49.177+09:00,4242.0,323.0_1,5.0,0.0,1
76,2022-03-28T21:53:49.277+09:00,4242.0,323.0_1,5.0,0.0,1
77,2022-03-28T21:53:49.377+09:00,4242.0,323.0_1,5.0,0.0,1
78,2022-03-28T21:53:49.477+09:00,4242.0,323.0_1,5.0,0.0,1
79,2022-03-28T21:53:49.577+09:00,4242.0,323.0_1,5.0,0.0,1
80,2022-03-28T21:53:49.677+09:00,4242.0,323.0_1,5.0,0.0,1
81,2022-03-28T21:53:50.677+09:00,4242.0,323.0_1,5.0,0.0,1
82,2022-03-28T21:53:50.789+09:00,4242.0,323.0_1,5.0,0.0,1
83,2022-03-28T21:53:50.888+09:00,4242.0,323.0_1,5.0,0.0,1
84,2022-03-28T21:53:50.977+09:00,4242.0,323.0_1,5.0,0.0,1
85,2022-03-28T21:53:51.078+09:00,4242.0,323.0_1,5.0,0.0,1
86,2022-03-28T21:53:51.177+09:00,4242.0,323.0_1,5.0,0.0,1
87,2022-03-28T21:53:51.295+09:00,4242.0,323.0_1,5.0,0.0,1
88,2022-03-28T21:53:51.377+09:00,4242.0,323.0_1,5.0,0.0,1
89,2022-03-28T21:53:51.477+09:00,4242.0,323.0_1,5.0,0.0,1
