time,nc_id,spindle_load,axis_1_load,axis_2_load,axis_3_load,part_count,total_part_count,main_program_comment,main_program_number,axis_1_pos_abs,axis_2_pos_abs,axis_3_pos_abs,axis_4_pos_abs,axis_5_pos_abs,axis_6_pos_abs,modal_T,modal_R,modal_H,spindle_override,status,connected
2022-03-31T00:01:08.335+09:00,ACA-1-16,0,9,4,4,407,407,(SEPERATOR),6502,19,14.25,0,116.5,113.04,0,100,0,0,100,3,TRUE
2022-03-31T00:01:09.134+09:00,ACA-1-16,0,9,4,4,407,407,(SEPERATOR),6502,19,14.25,0,116.5,113.04,0,100,0,0,100,3,TRUE
2022-03-31T00:01:09.934+09:00,ACA-1-16,0,101,219,3,407,407,(SEPERATOR),6502,-1,14.25,0,116.5,113.04,0,131,0,0,100,3,TRUE
2022-03-31T00:01:10.789+09:00,ACA-1-16,145,10,13,2,407,407,(SEPERATOR),6502,29.466,0,0,116.5,113.04,0,202,0,0,100,3,TRUE
2022-03-31T00:01:11.534+09:00,ACA-1-16,7,16,17,16,407,407,(SEPERATOR),6502,120,-2,219.367,116.5,113.04,0,0,0,0,100,3,TRUE
2022-03-31T00:01:12.334+09:00,ACA-1-16,18,16,17,16,407,407,(SEPERATOR),6502,0,1.282,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:13.135+09:00,ACA-1-16,18,17,35,3,407,407,(SEPERATOR),6502,0,1.282,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:13.934+09:00,ACA-1-16,23,19,107,2,407,407,(SEPERATOR),6502,0,5.28,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:14.736+09:00,ACA-1-16,25,18,184,1,407,407,(SEPERATOR),6502,0,8.639,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:15.534+09:00,ACA-1-16,24,20,203,1,407,407,(SEPERATOR),6502,0,12.479,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:16.334+09:00,ACA-1-16,24,20,203,1,407,407,(SEPERATOR),6502,0,12.479,0,116.5,113.04,0,4343,0,0,100,3,TRUE
