time,nc_id,spindle_load,axis_1_load,axis_2_load,axis_3_load,part_count,total_part_count,main_program_comment,main_program_number,axis_1_pos_abs,axis_2_pos_abs,axis_3_pos_abs,axis_4_pos_abs,axis_5_pos_abs,axis_6_pos_abs,modal_T,modal_R,modal_H,spindle_override,status,connected
2022-03-31T00:01:09.378+09:00,ACA-1-16-3,0,9,0,3,407,407,(SEPERATOR),6502,19,14,0,116.5,113.04,0,100,0,0,100,3,TRUE
2022-03-31T00:01:10.178+09:00,ACA-1-16-3,0,96,27,7,407,407,(SEPERATOR),6502,120,-5,34.133,116.5,113.04,0,0,0,0,100,3,TRUE
2022-03-31T00:01:10.978+09:00,ACA-1-16-3,12,96,27,7,407,407,(SEPERATOR),6502,120,-2,35.9,116.5,113.04,0,0,0,0,100,3,TRUE
2022-03-31T00:01:11.778+09:00,ACA-1-16-3,12,16,16,22,407,407,(SEPERATOR),6502,120,-2,35.9,116.5,113.04,0,0,0,0,100,3,TRUE
2022-03-31T00:01:12.578+09:00,ACA-1-16-3,51,17,29,5,407,407,(SEPERATOR),6502,0,-0.836,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:13.378+09:00,ACA-1-16-3,4,21,97,3,407,407,(SEPERATOR),6502,0,3.201,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:14.188+09:00,ACA-1-16-3,26,18,163,1,407,407,(SEPERATOR),6502,0,6.559,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:14.978+09:00,ACA-1-16-3,26,18,163,1,407,407,(SEPERATOR),6502,0,10.719,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:15.778+09:00,ACA-1-16-3,26,19,139,2,407,407,(SEPERATOR),6502,0,10.719,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:16.588+09:00,ACA-1-16-3,39,18,198,4,407,407,(SEPERATOR),6502,0,14.717,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:17.39+09:00,ACA-1-16-3,45,19,251,3,407,407,(SEPERATOR),6502,0,18.556,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:18.188+09:00,ACA-1-16-3,56,19,251,3,407,407,(SEPERATOR),6502,0,22.714,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:18.977+09:00,ACA-1-16-3,56,22,211,6,407,407,(SEPERATOR),6502,0,22.714,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:19.788+09:00,ACA-1-16-3,9,15,209,2,407,407,(SEPERATOR),6502,0,15.772,0,116.5,113.04,0,4343,0,0,100,3,TRUE
2022-03-31T00:01:20.577+09:00,ACA-1-16-3,3,31,0,5,407,407,(SEPERATOR),6502,125.241,-2,391.683,116.5,113.04,0,0,0,0,100,3,TRUE
2022-03-31T00:01:21.377+09:00,ACA-1-16-3,9,18,101,2,407,407,(SEPERATOR),6502,-27.284,0.29,0,116.5,113.04,0,4242,0,0,100,3,TRUE
2022-03-31T00:01:22.196+09:00,ACA-1-16-3,5,18,101,2,407,407,(SEPERATOR),6502,-26.93,2.658,0,116.5,113.04,0,4242,0,0,100,3,TRUE
2022-03-31T00:01:22.977+09:00,ACA-1-16-3,5,18,86,1,407,407,(SEPERATOR),6502,-26.93,2.658,0,116.5,113.04,0,4242,0,0,100,3,TRUE
2022-03-31T00:01:23.777+09:00,ACA-1-16-3,6,17,82,0,407,407,(SEPERATOR),6502,-22.865,2.961,0,116.5,113.04,0,4242,0,0,100,3,TRUE
2022-03-31T00:01:24.597+09:00,ACA-1-16-3,7,15,70,0,407,407,(SEPERATOR),6502,-22.395,3.959,0,116.5,113.04,0,4242,0,0,100,3,TRUE
2022-03-31T00:01:25.378+09:00,ACA-1-16-3,4,18,69,2,407,407,(SEPERATOR),6502,-21.034,4.169,0,116.5,113.04,0,4242,0,0,100,3,TRUE
2022-03-31T00:01:26.177+09:00,ACA-1-16-3,5,18,69,2,407,407,(SEPERATOR),6502,-20.775,5.177,0,116.5,113.04,0,4242,0,0,100,3,TRUE
2022-03-31T00:01:26.977+09:00,ACA-1-16-3,5,9,66,3,407,407,(SEPERATOR),6502,-20.775,5.177,0,116.5,113.04,0,4242,0,0,100,3,TRUE
2022-03-31T00:01:27.793+09:00,ACA-1-16-3,5,16,59,2,407,407,(SEPERATOR),6502,-20.45,7.585,0,116.5,113.04,0,4242,0,0,100,3,TRUE
2022-03-31T00:01:28.578+09:00,ACA-1-16-3,6,18,25,1,407,407,(SEPERATOR),6502,-16.412,11,0,116.5,113.04,0,4242,0,0,100,3,TRUE
